NMFS_DNA_ID_use,SAMPLE_ID,GENUS,SPECIES,LENGTH,WEIGHT,REPORTED_LIFE_STAGE,COLLECTION_DATE,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,inversion_call,Water_Name,Site,Treatment,Treatment.Temp,Start.Temp_C,LOE.Temp_C
M145590,BC-102,Oncorhynchus,mykiss,109,13.7,Juvenile,8/30/24,M145590,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.8
M145591,BC-103,Oncorhynchus,mykiss,97,9.7,Juvenile,8/30/24,M145591,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.9
M145592,BC-104,Oncorhynchus,mykiss,89,7.3,Juvenile,8/30/24,M145592,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.9
M145593,CR-01,Oncorhynchus,mykiss,190,59.5,Juvenile,10/23/24,M145593,California,Monterey,Carmel River,AR,Carmel River,Carmel River,3,23,22.1,30.5
M145594,CR-02,Oncorhynchus,mykiss,58,2,Juvenile,10/23/24,M145594,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31
M145595,CR-03,Oncorhynchus,mykiss,79,7.3,Juvenile,10/23/24,M145595,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.3
M145596,CR-04,Oncorhynchus,mykiss,85,8.3,Juvenile,10/23/24,M145596,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.3
M145597,CR-05,Oncorhynchus,mykiss,100,10.4,Juvenile,10/23/24,M145597,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.3
M145598,CR-06,Oncorhynchus,mykiss,175,55.4,Juvenile,10/23/24,M145598,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.3
M145599,CR-07,Oncorhynchus,mykiss,128,22,Juvenile,10/23/24,M145599,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.4
M145600,CR-08,Oncorhynchus,mykiss,81,6.7,Juvenile,10/23/24,M145600,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.1,31.6
M145601,CR-09,Oncorhynchus,mykiss,209,89.8,Juvenile,10/23/24,M145601,California,Monterey,Carmel River,NA,Carmel River,Carmel River,3,23,22.6,30.4
M145602,CR-10,Oncorhynchus,mykiss,93,8.8,Juvenile,10/23/24,M145602,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,30.9
M145603,CR-11,Oncorhynchus,mykiss,91,8,Juvenile,10/23/24,M145603,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,30.9
M145604,CR-12,Oncorhynchus,mykiss,162,39,Juvenile,10/23/24,M145604,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,30.9
M145605,CR-13,Oncorhynchus,mykiss,85,6.9,Juvenile,10/23/24,M145605,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,31
M145606,CR-14,Oncorhynchus,mykiss,126,20.4,Juvenile,10/23/24,M145606,California,Monterey,Carmel River,AR,Carmel River,Carmel River,3,23,22.6,31.3
M145607,CR-15,Oncorhynchus,mykiss,75,4.7,Juvenile,10/23/24,M145607,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,31.3
M145608,CR-16,Oncorhynchus,mykiss,83,5.8,Juvenile,10/23/24,M145608,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22.6,31.4
M145609,CR-17,Oncorhynchus,mykiss,72,3.5,Juvenile,10/23/24,M145609,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.2
M145610,CR-18,Oncorhynchus,mykiss,87,7,Juvenile,10/23/24,M145610,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.3
M145611,CR-19,Oncorhynchus,mykiss,62,2.4,Juvenile,10/23/24,M145611,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.5
M145612,CR-20,Oncorhynchus,mykiss,77,4.7,Juvenile,10/23/24,M145612,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.5
M145613,CR-21,Oncorhynchus,mykiss,66,3.1,Juvenile,10/23/24,M145613,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.7
M145614,CR-22,Oncorhynchus,mykiss,77,4.6,Juvenile,10/23/24,M145614,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.7
M145615,CR-23,Oncorhynchus,mykiss,77,NA,Juvenile,10/23/24,M145615,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.7
M145616,CR-24,Oncorhynchus,mykiss,94,8.3,Juvenile,10/23/24,M145616,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,31.9
M145617,CR-25,Oncorhynchus,mykiss,90,8.3,Juvenile,10/23/24,M145617,California,Monterey,Carmel River,AA,Carmel River,Carmel River,3,23,22,32.1
M145618,CR-26,Oncorhynchus,mykiss,59,1.5,Juvenile,10/24/24,M145618,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.6
M145619,CR-27,Oncorhynchus,mykiss,87,7.6,Juvenile,10/24/24,M145619,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.5
M145620,CR-28,Oncorhynchus,mykiss,99,10.6,Juvenile,10/24/24,M145620,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.5
M145621,CR-29,Oncorhynchus,mykiss,86,6.8,Juvenile,10/24/24,M145621,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.7
M145622,CR-30,Oncorhynchus,mykiss,86,7.9,Juvenile,10/24/24,M145622,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.7
M145623,CR-31,Oncorhynchus,mykiss,93,7.6,Juvenile,10/24/24,M145623,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,30.7
M145624,CR-32,Oncorhynchus,mykiss,85,6.4,Juvenile,10/24/24,M145624,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,31
M145625,CR-33,Oncorhynchus,mykiss,99,11.6,Juvenile,10/24/24,M145625,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,12.9,31.1
M145626,CR-34,Oncorhynchus,mykiss,100,10.2,Juvenile,10/24/24,M145626,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.2
M145627,CR-35,Oncorhynchus,mykiss,93,9.2,Juvenile,10/24/24,M145627,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145628,CR-36,Oncorhynchus,mykiss,76,4,Juvenile,10/24/24,M145628,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145629,CR-37,Oncorhynchus,mykiss,80,5.4,Juvenile,10/24/24,M145629,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145630,CR-38,Oncorhynchus,mykiss,73,4.1,Juvenile,10/24/24,M145630,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145631,CR-39,Oncorhynchus,mykiss,129,22.8,Juvenile,10/24/24,M145631,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145632,CR-40,Oncorhynchus,mykiss,93,8.8,Juvenile,10/24/24,M145632,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145633,CR-41,Oncorhynchus,mykiss,156,38.5,Juvenile,10/24/24,M145633,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,13.9,30.8
M145634,CR-42,Oncorhynchus,mykiss,93,9.8,Juvenile,10/24/24,M145634,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145635,CR-43,Oncorhynchus,mykiss,83,6,Juvenile,10/24/24,M145635,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145636,CR-44,Oncorhynchus,mykiss,127,20.8,Juvenile,10/24/24,M145636,California,Monterey,Carmel River,AR,Carmel River,Carmel River,1,13,14.9,30.7
M145637,CR-45,Oncorhynchus,mykiss,81,6.1,Juvenile,10/24/24,M145637,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145638,CR-46,Oncorhynchus,mykiss,83,5.9,Juvenile,10/24/24,M145638,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145639,CR-47,Oncorhynchus,mykiss,83,6,Juvenile,10/24/24,M145639,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145640,CR-48,Oncorhynchus,mykiss,77,5.5,Juvenile,10/24/24,M145640,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.6
M145641,CR-49,Oncorhynchus,mykiss,110,13.5,Juvenile,10/24/24,M145641,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.7
M145642,CR-50,Oncorhynchus,mykiss,93,9.7,Juvenile,10/24/24,M145642,California,Monterey,Carmel River,AA,Carmel River,Carmel River,1,13,14.9,30.7
M145643,CR-51,Oncorhynchus,mykiss,176,50,Juvenile,10/29/24,M145643,California,Monterey,Carmel River,AA,Carmel River,Carmel River,4,25,24.1,31
M145644,CR-52,Oncorhynchus,mykiss,79,3.9,Juvenile,10/29/24,M145644,California,Monterey,Carmel River,AA,Carmel River,Carmel River,4,25,24.1,31.6
