"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"270","M145489","M145759",-23.1569402299534,93
"271","M145489","M145760",-21.4443201900892,92
"272","M145489","M145761",-14.1628429421577,90
"273","M145489","M145762",-26.3948814123546,93
"274","M145489","M145763",-21.1402628810027,91
"275","M145489","M145764",-20.1337484494114,92
"276","M145489","M145765",-15.4261747953304,93
"277","M145489","M145766",-20.8951632190197,90
"278","M145489","M145767",-14.9627164551629,92
"279","M145489","M145768",-23.044083068351,93
"280","M145489","M145769",-12.2548924287647,79
"281","M145489","M145770",-23.9613667157617,92
"282","M145489","M145771",-12.0152475078494,92
"283","M145489","M145772",-8.1434663148031,71
"284","M145489","M145773",-13.5154613435408,90
"285","M145489","M145774",-14.2246274059333,90
"286","M145489","M145775",-14.221327028746,90
"287","M145489","M145776",-21.6137381919156,92
"288","M145489","M145777",-19.794046858256,92
"289","M145489","M145778",-17.0821120324759,92
"290","M145489","M145779",-28.5247061746234,92
"291","M145489","M145780",-15.842877164605,93
"292","M145489","M145781",-20.095351596655,93
"293","M145489","M145782",-23.2273228926434,92
"294","M145489","M145783",-22.6770945879245,91
"295","M145489","M145784",-13.5336560643616,93
"296","M145489","M145785",-17.5501694486043,92
"297","M145489","M145786",-9.19785882011888,93
"298","M145489","M145787",-12.3049081875372,92
"299","M145489","M145788",-6.53624853301097,92
"300","M145489","M145789",-2.11351102272372,91
"301","M145489","M145790",-1.769010787865,91
"302","M145489","M145791",-16.6077707344285,93
"303","M145489","M145792",-11.1985602922632,93
"304","M145489","M145793",-10.9555027805395,93
"305","M145489","M145794",-18.4916413521082,93
"306","M145489","M145795",-8.62311745688136,93
"307","M145489","M145796",-4.9483677276572,92
"308","M145489","M145797",-1.6369187547524,93
"309","M145489","M145798",-4.84715583683125,93
"310","M145489","M145799",-15.0627508410441,92
"311","M145489","M145800",-7.34516881928778,93
"312","M145489","M145801",-3.06830699976844,93
"313","M145489","M145802",-11.4692310098299,92
"314","M145489","M145803",-8.02672072930938,93
"315","M145489","M145804",-8.8028161911713,93
"316","M145489","M145805",-3.66588103260757,92
"317","M145489","M145806",-8.16731804081688,93
"318","M145489","M145807",-12.7642909170522,93
"319","M145489","M145808",-4.35136334357159,92
"320","M145489","M145809",-5.20720439371258,93
"321","M145489","M145810",-9.30958177523853,92
"322","M145489","M145811",-6.90759470170666,93
"323","M145489","M145812",-1.80554268870617,88
"324","M145489","M145813",-8.74335576507275,91
"325","M145489","M145814",0.665451120196586,93
"326","M145489","M145815",-4.41598431467914,92
"327","M145489","M145816",-1.59738191864463,93
"328","M145489","M145817",-14.5308916412551,93
"329","M145489","M145818",-11.3572602992478,93
"330","M145489","M145819",-12.309234228544,93
"331","M145489","M145820",-8.19998306681372,92
"332","M145489","M145821",-6.04434630670348,92
"333","M145489","M145822",-0.621863688474523,92
"334","M145489","M145823",-2.21471975437055,91
"335","M145489","M145824",-1.1448708323789,92
"336","M145489","M145825",-0.911190239152666,91
"337","M145489","M145826",-10.4369611762615,92
"338","M145489","M145827",-18.2337561411743,92
"339","M145489","M145828",-13.1193688017007,93
