"","LocationYear","Date","Treatment","Treatment.Temp","Fish.Sample","Start.Temp_C","LOE.Temp_C","Length_mm","Mass_g","Fultons","Lethal.Take","Location","mean_mean","mean_min","mean_max","mean_sd","hist_julymean"
"85","Big Sur 2024",2024-08-30,"4",25,"BC-85",24.6,31.7,75,4.5,"1.0666667","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"86","Big Sur 2024",2024-08-30,"4",25,"BC-86",24.6,31.7,113,14.7,"1.0187837","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"87","Big Sur 2024",2024-08-30,"4",25,"BC-87",24.6,31.7,99,11,"1.1336712","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"88","Big Sur 2024",2024-08-30,"4",25,"BC-88",24.6,31.7,75,5.6,"1.3274074","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"89","Big Sur 2024",2024-08-30,"4",25,"BC-89",25.2,30.7,NA,2.4,"5.1440329","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"90","Big Sur 2024",2024-08-30,"4",25,"BC-90",25.2,31.2,112,15.1,"1.0747882","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"91","Big Sur 2024",2024-08-30,"4",25,"BC-91",25.2,31.2,102,10.4,"0.9800152","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"92","Big Sur 2024",2024-08-30,"4",25,"BC-92",25.2,31.3,106,12,"1.0075431","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"93","Big Sur 2024",2024-08-30,"4",25,"BC-93",25.2,31.4,104,12.1,"1.0756856","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"94","Big Sur 2024",2024-08-30,"4",25,"BC-94",25.2,31.5,114,15.2,"1.0259567","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"95","Big Sur 2024",2024-08-30,"4",25,"BC-95",25.2,31.5,93,8.9,"1.1064739","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"96","Big Sur 2024",2024-08-30,"4",25,"BC-96",25.2,31.6,109,12.9,"0.9961167","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"97","Big Sur 2024",2024-08-30,"4",25,"BC-97",25.2,31.7,100,10.4,"1.04","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"98","Big Sur 2024",2024-08-30,"4",25,"BC-98",25,31.5,110,14.6,"1.0969196","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"99","Big Sur 2024",2024-08-30,"4",25,"BC-99",25,31.5,106,11.7,"0.9823546","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"100","Big Sur 2024",2024-08-30,"4",25,"BC-100",25,31.6,90,8,"1.0973937","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"101","Big Sur 2024",2024-08-30,"4",25,"BC-101",25,31.7,85,7.4,"1.2049664","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"102","Big Sur 2024",2024-08-30,"4",25,"BC-102",25,31.8,109,13.7,"1.0578914","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"103","Big Sur 2024",2024-08-30,"4",25,"BC-103",25,31.9,97,9.7,"1.0628122","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"104","Big Sur 2024",2024-08-30,"4",25,"BC-104",25,31.9,89,7.3,"1.0355065","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"105","Carmel River 2024",2024-10-23,"3",23,"CR-01",22.1,30.5,190,59.5,"0.8674734","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"106","Carmel River 2024",2024-10-23,"3",23,"CR-02",22.1,31,58,2,"1.0250523","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"107","Carmel River 2024",2024-10-23,"3",23,"CR-03",22.1,31.3,79,7.3,"1.4806131","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"108","Carmel River 2024",2024-10-23,"3",23,"CR-04",22.1,31.3,85,8.3,"1.3515164","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"109","Carmel River 2024",2024-10-23,"3",23,"CR-05",22.1,31.3,100,10.4,"1.04","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"110","Carmel River 2024",2024-10-23,"3",23,"CR-06",22.1,31.3,175,55.4,"1.0337026","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"111","Carmel River 2024",2024-10-23,"3",23,"CR-07",22.1,31.4,128,22,"1.0490417","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"112","Carmel River 2024",2024-10-23,"3",23,"CR-08",22.1,31.6,81,6.7,"1.2607232","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"113","Carmel River 2024",2024-10-23,"3",23,"CR-09",22.6,30.4,209,89.8,"0.9836429","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"114","Carmel River 2024",2024-10-23,"3",23,"CR-10",22.6,30.9,93,8.8,"1.0940416","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"115","Carmel River 2024",2024-10-23,"3",23,"CR-11",22.6,30.9,91,8,"1.061612","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"116","Carmel River 2024",2024-10-23,"3",23,"CR-12",22.6,30.9,162,39,"0.9173173","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"117","Carmel River 2024",2024-10-23,"3",23,"CR-13",22.6,31,85,6.9,"1.1235498","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"118","Carmel River 2024",2024-10-23,"3",23,"CR-14",22.6,31.3,126,20.4,"1.0198083","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"119","Carmel River 2024",2024-10-23,"3",23,"CR-15",22.6,31.3,75,4.7,"1.1140741","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"120","Carmel River 2024",2024-10-23,"3",23,"CR-16",22.6,31.4,83,5.8,"1.0143637","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"121","Carmel River 2024",2024-10-23,"3",23,"CR-17",22,31.2,72,3.5,"0.9377143","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"122","Carmel River 2024",2024-10-23,"3",23,"CR-18",22,31.3,87,7,"1.0630172","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"123","Carmel River 2024",2024-10-23,"3",23,"CR-19",22,31.5,62,2.4,"1.0070155","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"124","Carmel River 2024",2024-10-23,"3",23,"CR-20",22,31.5,77,4.7,"1.0294984","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"125","Carmel River 2024",2024-10-23,"3",23,"CR-21",22,31.7,66,3.1,"1.0782759","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"126","Carmel River 2024",2024-10-23,"3",23,"CR-22",22,31.7,77,4.6,"1.0075942","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"127","Carmel River 2024",2024-10-23,"3",23,"CR-23",22,31.7,77,NA,"#VALUE!","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"128","Carmel River 2024",2024-10-23,"3",23,"CR-24",22,31.9,94,8.3,"0.9992969","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"129","Carmel River 2024",2024-10-23,"3",23,"CR-25",22,32.1,90,8.3,"1.138546","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"130","Carmel River 2024",2024-10-24,"1",13,"CR-26",12.9,30.6,59,1.5,"0.730357","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"131","Carmel River 2024",2024-10-24,"1",13,"CR-27",12.9,30.5,87,7.6,"1.1541329","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"132","Carmel River 2024",2024-10-24,"1",13,"CR-28",12.9,30.5,99,10.6,"1.0924468","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"133","Carmel River 2024",2024-10-24,"1",13,"CR-29",12.9,30.7,86,6.8,"1.0690883","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"134","Carmel River 2024",2024-10-24,"1",13,"CR-30",12.9,30.7,86,7.9,"1.242029","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"135","Carmel River 2024",2024-10-24,"1",13,"CR-31",12.9,30.7,93,7.6,"0.9448541","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"136","Carmel River 2024",2024-10-24,"1",13,"CR-32",12.9,31,85,6.4,"1.0421331","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"137","Carmel River 2024",2024-10-24,"1",13,"CR-33",12.9,31.1,99,11.6,"1.1955078","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"138","Carmel River 2024",2024-10-24,"1",13,"CR-34",13.9,30.2,100,10.2,"1.02","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"139","Carmel River 2024",2024-10-24,"1",13,"CR-35",13.9,30.8,93,9.2,"1.1437707","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"140","Carmel River 2024",2024-10-24,"1",13,"CR-36",13.9,30.8,76,4,"0.9112115","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"141","Carmel River 2024",2024-10-24,"1",13,"CR-37",13.9,30.8,80,5.4,"1.0546875","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"142","Carmel River 2024",2024-10-24,"1",13,"CR-38",13.9,30.8,73,4.1,"1.0539385","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"143","Carmel River 2024",2024-10-24,"1",13,"CR-39",13.9,30.8,129,22.8,"1.0621008","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"144","Carmel River 2024",2024-10-24,"1",13,"CR-40",13.9,30.8,93,8.8,"1.0940416","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"145","Carmel River 2024",2024-10-24,"1",13,"CR-41",13.9,30.8,156,38.5,"1.0141144","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"146","Carmel River 2024",2024-10-24,"1",13,"CR-42",14.9,30.6,93,9.8,"1.2183645","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
"147","Carmel River 2024",2024-10-24,"1",13,"CR-43",14.9,30.6,83,6,"1.0493418","N","Carmel River",14.8151446042857,13.3657142857143,16.3335714285714,0.994504718857143,17.673
