"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"148","Big Sur 2024","Big Sur",2024-08-20 00:15:00,2024-08-20,00:15:00,15.7,"2024",2043
"149","Big Sur 2024","Big Sur",2024-08-20 00:20:00,2024-08-20,00:20:00,15.66,"2024",2043
"150","Big Sur 2024","Big Sur",2024-08-20 00:25:00,2024-08-20,00:25:00,15.7,"2024",2043
"151","Big Sur 2024","Big Sur",2024-08-20 00:30:00,2024-08-20,00:30:00,15.7,"2024",2043
"152","Big Sur 2024","Big Sur",2024-08-20 00:35:00,2024-08-20,00:35:00,15.61,"2024",2043
"153","Big Sur 2024","Big Sur",2024-08-20 00:40:00,2024-08-20,00:40:00,15.61,"2024",2043
"154","Big Sur 2024","Big Sur",2024-08-20 00:45:00,2024-08-20,00:45:00,15.66,"2024",2043
"155","Big Sur 2024","Big Sur",2024-08-20 00:50:00,2024-08-20,00:50:00,15.61,"2024",2043
"156","Big Sur 2024","Big Sur",2024-08-20 00:55:00,2024-08-20,00:55:00,15.61,"2024",2043
"157","Big Sur 2024","Big Sur",2024-08-20 01:00:00,2024-08-20,01:00:00,15.66,"2024",2043
"158","Big Sur 2024","Big Sur",2024-08-20 01:05:00,2024-08-20,01:05:00,15.61,"2024",2043
"159","Big Sur 2024","Big Sur",2024-08-20 01:10:00,2024-08-20,01:10:00,15.61,"2024",2043
"160","Big Sur 2024","Big Sur",2024-08-20 01:15:00,2024-08-20,01:15:00,15.53,"2024",2043
"161","Big Sur 2024","Big Sur",2024-08-20 01:20:00,2024-08-20,01:20:00,15.57,"2024",2043
"162","Big Sur 2024","Big Sur",2024-08-20 01:25:00,2024-08-20,01:25:00,15.61,"2024",2043
"163","Big Sur 2024","Big Sur",2024-08-20 01:30:00,2024-08-20,01:30:00,15.57,"2024",2043
"164","Big Sur 2024","Big Sur",2024-08-20 01:35:00,2024-08-20,01:35:00,15.53,"2024",2043
"165","Big Sur 2024","Big Sur",2024-08-20 01:40:00,2024-08-20,01:40:00,15.53,"2024",2043
"166","Big Sur 2024","Big Sur",2024-08-20 01:45:00,2024-08-20,01:45:00,15.53,"2024",2043
"167","Big Sur 2024","Big Sur",2024-08-20 01:50:00,2024-08-20,01:50:00,15.53,"2024",2043
"168","Big Sur 2024","Big Sur",2024-08-20 01:55:00,2024-08-20,01:55:00,15.53,"2024",2043
"169","Big Sur 2024","Big Sur",2024-08-20 02:00:00,2024-08-20,02:00:00,15.53,"2024",2043
"170","Big Sur 2024","Big Sur",2024-08-20 02:05:00,2024-08-20,02:05:00,15.48,"2024",2043
"171","Big Sur 2024","Big Sur",2024-08-20 02:10:00,2024-08-20,02:10:00,15.48,"2024",2043
"172","Big Sur 2024","Big Sur",2024-08-20 02:15:00,2024-08-20,02:15:00,15.44,"2024",2043
"173","Big Sur 2024","Big Sur",2024-08-20 02:20:00,2024-08-20,02:20:00,15.48,"2024",2043
"174","Big Sur 2024","Big Sur",2024-08-20 02:25:00,2024-08-20,02:25:00,15.44,"2024",2043
"175","Big Sur 2024","Big Sur",2024-08-20 02:30:00,2024-08-20,02:30:00,15.44,"2024",2043
"176","Big Sur 2024","Big Sur",2024-08-20 02:35:00,2024-08-20,02:35:00,15.48,"2024",2043
"177","Big Sur 2024","Big Sur",2024-08-20 02:40:00,2024-08-20,02:40:00,15.44,"2024",2043
"178","Big Sur 2024","Big Sur",2024-08-20 02:45:00,2024-08-20,02:45:00,15.44,"2024",2043
"179","Big Sur 2024","Big Sur",2024-08-20 02:50:00,2024-08-20,02:50:00,15.44,"2024",2043
"180","Big Sur 2024","Big Sur",2024-08-20 02:55:00,2024-08-20,02:55:00,15.4,"2024",2043
"181","Big Sur 2024","Big Sur",2024-08-20 03:00:00,2024-08-20,03:00:00,15.44,"2024",2043
"182","Big Sur 2024","Big Sur",2024-08-20 03:05:00,2024-08-20,03:05:00,15.4,"2024",2043
"183","Big Sur 2024","Big Sur",2024-08-20 03:10:00,2024-08-20,03:10:00,15.4,"2024",2043
